duplicate_group,sha256,artifact_id,filename,relative_path
d62b7c433e89,d62b7c433e89903c8e4c00fc470c8f82b33a18c8ecce708db212403a8c936abf,AXI-ART-000038,engine_manifest.freeze.json,Releases/F1-Reconstruction-Engine-v2.0/engine_manifest.freeze.json
d62b7c433e89,d62b7c433e89903c8e4c00fc470c8f82b33a18c8ecce708db212403a8c936abf,AXI-ART-000099,engine_manifest.json,Governance/Reconstruction/engine_manifest.json
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000040,axi.py,Core/CLI/axi.py
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000041,project_service.py,Core/Services/project_service.py
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000042,decision_service.py,Core/Services/decision_service.py
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000043,rules_service.py,Core/Services/rules_service.py
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000044,audit_service.py,Core/Services/audit_service.py
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000045,command_router.py,Core/Services/command_router.py
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000046,selection_service.py,Core/Services/selection_service.py
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000077,PLATFORM_ROADMAP.md,Docs/Roadmap/PLATFORM_ROADMAP.md
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000078,AXI_PLATFORM_v2.md,Docs/Architecture/AXI_PLATFORM_v2.md
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000079,PLATFORM_STANDARDS.md,Docs/Standards/PLATFORM_STANDARDS.md
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000080,AXI_Decision_Register_v1.0.md,Canon/Decision_Register/AXI_Decision_Register_v1.0.md
e3b0c44298fc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,AXI-ART-000081,AXI_Operating_System_v1.0.md,Canon/Operating_System/AXI_Operating_System_v1.0.md
